
[Name]
fsi

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-2.63344431e+000, 1.28672752e+001, 2.41839935e+002, -3.25301941e+002
-2.45834136e+000, 1.29945822e+001, 2.42143829e+002, -9.38994934e+002
-2.45210171e+000, 1.33352423e+001, 2.42145126e+002, -1.35994092e+003
-6.14421606e+000, -5.40934181e+000, 1.80782364e+002, 2.50548022e+003
-5.81575346e+000, -4.78744984e+000, 1.80889709e+002, 6.17697144e+002
-6.10343695e+000, -5.27799940e+000, 1.81327774e+002, 2.53433862e+003
2.32181883e+000, -2.10293560e+001, 2.19247665e+002, 2.04380652e+003
2.56759810e+000, -2.09614773e+001, 2.19041580e+002, 8.02362305e+002
2.39248133e+000, -2.06056042e+001, 2.19243637e+002, 2.48545361e+003
2.50946736e+000, 1.56687822e+001, 2.46944550e+002, -1.73641833e+003
2.24116516e+000, 1.59821501e+001, 2.46727417e+002, -1.63764420e+002
2.46459413e+000, 1.57292538e+001, 2.46687881e+002, -1.23298938e+003
-9.19412994e+000, -8.61442947e+000, 1.18310959e+002, -1.56125290e+002
-9.89174461e+000, -8.84747314e+000, 1.18204559e+002, 1.67520447e+003
-9.35165119e+000, -8.64183426e+000, 1.17664528e+002, -4.36179779e+002
-2.64273500e+000, -3.54182959e+000, 2.22784256e+002, 6.66458862e+002
-3.01021433e+000, -3.75020838e+000, 2.22700012e+002, 6.21847961e+002
-2.32782578e+000, -3.86114407e+000, 2.22721298e+002, 6.47905945e+002
8.19460487e+000, 7.56330776e+000, 1.34872742e+002, -1.61754602e+003
8.10880280e+000, 7.54146242e+000, 1.35368271e+002, -1.24748206e+003
8.76723862e+000, 7.72311544e+000, 1.35327545e+002, -8.88118530e+002
-1.13561106e+001, -1.83860397e+001, 3.22772675e+001, 2.22817163e+003
-1.06655111e+001, -1.82613258e+001, 3.21816254e+001, 2.25966577e+003
-1.08684683e+001, -1.86008835e+001, 3.22823105e+001, 2.20025879e+003
2.48945045e+000, 1.51202765e+001, 2.46488678e+002, -3.23009277e+002
2.55742693e+000, 1.51205149e+001, 2.46814026e+002, -2.14456519e+003
3.37478304e+000, -1.27238169e+001, 2.21310959e+002, -1.25674683e+002
3.50417614e+000, -1.19911947e+001, 2.21205841e+002, -8.47270203e+002
3.44167948e+000, -1.24775429e+001, 2.21007706e+002, -1.23461304e+003
3.40144205e+000, -1.13777084e+001, 2.21118835e+002, -5.23545105e+002
3.35145926e+000, -1.20212965e+001, 2.20977646e+002, -1.53083838e+003
-2.12472749e+000, -1.55414114e+001, 2.37815964e+002, -7.94989380e+002
-2.04648733e+000, -1.62053070e+001, 2.37794983e+002, -3.97646790e+002
-2.35394335e+000, -1.55719404e+001, 2.37924850e+002, -4.78901787e+001
3.50704789e+000, -1.14314966e+001, 2.21520691e+002, -2.01006683e+002
3.42621970e+000, -1.18836803e+001, 2.21493011e+002, -3.59760651e+002
3.27225780e+000, -1.13449373e+001, 2.21692810e+002, -1.38222305e+002
3.56410575e+000, -1.10256767e+001, 2.21526108e+002, -3.60712982e+002
2.78136730e+000, 1.40064125e+001, 2.14936295e+002, 1.43090649e+003
2.98230743e+000, 1.41164646e+001, 2.15287537e+002, -7.23892578e+002
2.90043139e+000, 1.37774258e+001, 2.15232895e+002, -7.78267456e+002
2.59581876e+000, -1.76420155e+001, 2.14819412e+002, 2.40679297e+003
2.58068967e+000, -1.71343842e+001, 2.14914948e+002, 2.19562671e+003
2.78658581e+000, -1.79152622e+001, 2.15298264e+002, 1.10738391e+003
3.31413841e+000, 1.40186949e+001, 2.15179947e+002, -1.81199170e+003
-2.81441879e+000, -1.18954639e+001, 2.45572037e+002, 5.46822083e+002
-2.98926044e+000, -1.18793612e+001, 2.45737274e+002, 1.23875769e+003
-2.75116038e+000, -1.22627096e+001, 2.45673660e+002, 1.21053967e+003
-1.85343285e+001, -1.48177469e+000, 3.22979584e+001, 8.47016663e+002
-1.87818184e+001, -9.83283103e-001, 3.21026497e+001, 1.59197961e+003
-1.82459717e+001, -1.26037025e+000, 3.21595268e+001, 7.53403137e+002
-2.75094795e+000, -1.21549253e+001, 2.46058868e+002, 9.39238770e+002
-2.61158681e+000, -1.16903028e+001, 2.45742142e+002, -4.16233612e+002
-2.22972131e+000, 2.25300026e+001, 2.19107330e+002, -1.62106531e+003
-2.29088378e+000, 2.20592575e+001, 2.19271774e+002, -1.82792249e+003
-2.47973943e+000, 2.25308189e+001, 2.19315109e+002, -2.25342969e+003
-3.32075596e+000, -5.75520706e+000, 2.15042007e+002, -1.18007361e+003
-3.37745976e+000, -5.90527010e+000, 2.14807968e+002, -1.44083875e+003
-3.30166125e+000, -6.34580326e+000, 2.14885391e+002, -5.97939758e+002
-3.54812598e+000, -5.63498735e+000, 2.14710373e+002, -9.11261841e+002
-3.79366422e+000, -6.13736773e+000, 2.14777115e+002, 8.10068237e+002
2.16753173e+000, -1.84852028e+001, 2.47488068e+002, -1.08020190e+003
2.24280095e+000, -1.81592064e+001, 2.47577682e+002, -7.40390686e+002
2.18332505e+000, -1.81031799e+001, 2.47351288e+002, -1.10554333e+003
5.67369413e+000, 5.96383953e+000, 1.66190140e+002, 1.17656677e+003
6.02558851e+000, 5.62843132e+000, 1.66353317e+002, -5.64117615e+002
5.88943672e+000, 5.74791956e+000, 1.65934906e+002, 3.00210419e+002
6.30614567e+000, 5.55038118e+000, 1.66696030e+002, -1.28959375e+003
6.56353807e+000, 5.61609554e+000, 1.66367279e+002, -1.15256177e+003
-3.38592076e+000, 6.20680857e+000, 2.22249023e+002, -1.27231348e+003
-3.34159374e+000, 5.95304966e+000, 2.22675934e+002, -2.10364819e+003
-3.37388086e+000, 6.65890551e+000, 2.22621521e+002, -2.02587231e+003
-1.87881298e+001, -1.79310024e+000, 3.20833893e+001, 2.18909448e+003
5.79188681e+000, 5.74191856e+000, 1.66697662e+002, 5.25468201e+002
6.18601370e+000, 5.52989721e+000, 1.67080200e+002, -1.11892322e+003
6.75833082e+000, 5.71548605e+000, 1.66994415e+002, -8.19378357e+002
7.78960526e-001, -1.82513790e+001, 3.18321552e+001, 2.24941040e+003
1.11211526e+000, -1.87242775e+001, 3.18007679e+001, 2.44465430e+003
1.32808387e+000, -1.84808311e+001, 3.17006149e+001, 2.25128638e+003
3.93670559e-001, -1.84342499e+001, 3.17073154e+001, 2.41810352e+003
4.58143443e-001, -1.82149525e+001, 3.20934944e+001, 2.30468237e+003
2.03151083e+000, 1.87646370e+001, 2.44460175e+002, -1.76108008e+003
2.20386863e+000, 1.85266895e+001, 2.44523880e+002, -2.56362231e+003
2.13785267e+000, 1.91046810e+001, 2.44824295e+002, -2.13203442e+003
2.03755927e+000, 1.80844364e+001, 2.44589233e+002, -1.51862646e+003
2.13895798e+000, 1.85208664e+001, 2.44721603e+002, -2.81279492e+003
-1.84445286e+001, 1.56949434e+001, 3.17052231e+001, -2.90584778e+002
-1.82058392e+001, 1.55838490e+001, 3.20588036e+001, -2.52864334e+002
-1.82446041e+001, 1.60185719e+001, 3.18426285e+001, -1.30441345e+003
2.45670819e+000, 1.25008163e+001, 2.41426895e+002, 5.11624664e+002
2.39034915e+000, 1.31181831e+001, 2.41281067e+002, 8.75229492e+001
2.69979548e+000, 1.30816002e+001, 2.41436127e+002, -1.15784509e+003
-2.36206675e+000, 2.23293190e+001, 2.18795349e+002, -1.06297644e+003
-2.02533674e+000, -1.77358170e+001, 2.47221588e+002, -3.85126038e+002
-2.00583601e+000, -1.75073624e+001, 2.47519241e+002, -8.17079407e+002
-1.95289040e+000, -1.73565845e+001, 2.47245026e+002, -5.74898438e+002
-2.37840319e+000, 3.89488125e+000, 2.23262665e+002, -7.34706299e+002
-2.15438366e+000, 4.04556417e+000, 2.23052231e+002, -9.13214355e+002
-1.83098817e+000, 3.96392107e+000, 2.23210510e+002, -4.86094574e+002
-3.23078752e+000, 7.12664509e+000, 2.22232468e+002, -1.81774487e+003
