r,Vr
0.00,4.87
1.70,4.22
1.72,4.22
2.00,4.23
5.38,5.65
7.45,6.60
10.90,8.19
12.09,8.96
14.07,11.27
17.01,13.17
23.58,17.12
26.59,19.08
28.44,20.24
30.55,21.55
33.44,23.76
36.58,26.15
39.24,28.17
39.77,28.61
43.37,31.04
46.73,33.42
47.93,34.06
49.90,35.25
57.00,39.54
57.46,39.88
57.60,39.98
64.16,45.56
69.05,48.76
69.45,49.01
71.63,50.35
74.56,52.25
76.43,53.30
79.79,55.73
80.51,56.25
82.26,57.57
85.05,59.56
89.65,62.68
93.54,65.30
102.11,71.26
102.69,71.78
104.33,73.26
104.42,73.31
105.00,73.70
107.70,75.53
109.34,76.34
110.34,76.92
111.04,77.05
123.00,76.39
125.67,75.76
126.04,75.65
127.33,75.23
128.78,74.35
129.46,73.97
130.59,73.33
132.60,72.39
134.92,71.06
135.62,70.67
143.98,66.07
149.06,63.49
151.85,62.54
152.17,62.43
157.50,60.39
166.43,57.55
166.71,57.46
168.40,56.97
169.55,56.62
173.41,55.36
174.49,55.00
175.96,54.50
178.27,53.79
183.95,52.27
192.13,50.06
195.30,49.24
196.34,48.95
197.08,48.78
198.35,48.53
201.10,47.92
202.92,47.46
203.29,47.37
211.91,45.27
214.23,44.78
228.87,42.23
229.34,42.14
229.37,42.13
232.30,41.50
233.49,41.33
238.36,40.53
243.72,39.65
244.52,39.51
244.79,39.47
245.01,39.44
245.41,39.38
245.74,39.32
255.00,37.77
261.13,36.75
263.09,36.49
264.58,36.27
264.81,36.23
266.51,35.96
269.20,35.66
269.97,35.58
287.54,33.46
288.04,33.40
288.05,33.40
288.07,33.39
288.18,33.38
288.20,33.38
288.25,33.37
288.74,33.32
288.90,33.30
301.65,31.83
305.05,31.48
309.14,31.04
309.95,30.96
310.83,30.87
313.38,30.65
318.51,30.24
320.71,30.06
323.73,29.82
324.34,29.77
325.45,29.68
333.91,28.96
336.18,28.80
341.58,28.40
342.28,28.34
351.03,27.59
352.18,27.49
353.92,27.36
355.57,27.24
356.45,27.18
357.30,27.11
357.70,27.08
359.59,26.93
360.77,26.83
371.70,25.96
372.63,25.89
375.59,25.66
378.47,25.44
381.26,25.26
383.31,25.13
385.52,24.99
395.44,24.39
399.42,24.14
401.64,24.00
402.73,23.94
408.15,23.68
410.40,23.57
412.77,23.44
417.02,23.20
426.42,22.74
429.12,22.60
439.25,22.02
440.67,21.93
441.42,21.88
447.72,21.60
451.98,21.40
453.08,21.35
460.71,21.00
469.44,20.59
470.45,20.55
475.49,20.35
482.58,20.06
484.31,19.99
486.13,19.92
486.14,19.92
493.89,19.59
495.49,19.52
501.05,19.32
501.07,19.32
504.41,19.18
504.42,19.18
506.94,19.10
516.45,18.73
520.09,18.59
523.45,18.46
526.65,18.33
531.05,18.16
533.66,18.08
541.20,17.84
542.14,17.81
556.23,17.43
556.76,17.42
566.86,17.07
567.87,17.04
571.18,16.94
574.80,16.83
581.55,16.65
587.90,16.47
589.84,16.42
594.31,16.29
604.61,16.02
606.68,15.95
609.99,15.85
611.96,15.79
620.22,15.53
623.92,15.44
628.88,15.34
629.68,15.32
632.51,15.26
633.85,15.23
637.50,15.15
643.65,15.02
644.60,14.99
651.67,14.85
657.07,14.72
664.81,14.56
666.10,14.53
669.65,14.45
674.78,14.32
678.73,14.24
680.03,14.22
684.04,14.13
694.89,13.92
699.97,13.82
704.55,12.15
704.60,12.14
706.63,11.57
707.29,11.70
709.39,12.42
712.83,13.59
716.43,13.52
722.78,13.39
724.57,13.36
727.25,13.30
727.97,13.29
733.62,13.19
738.94,13.09
744.64,13.00
747.26,12.96
750.08,12.91
753.61,12.85
759.90,12.75
762.13,12.72
764.40,12.68
767.09,12.64
769.97,12.59
773.41,12.54
778.11,12.46
778.45,12.46
782.21,10.25
782.79,9.91
785.28,8.94
786.21,8.59
788.81,8.59
789.79,8.59
791.53,9.41
793.32,11.97
793.48,12.20
799.24,12.11
807.87,11.98
813.44,11.89
815.21,11.87
819.28,11.80
822.42,11.75
827.50,11.68
829.18,11.66
834.51,11.58
843.44,11.46
845.99,11.43
850.27,11.36
858.97,11.25
864.40,11.18
869.28,11.12
872.94,11.07
876.70,11.03
881.97,10.96
889.43,10.87
891.38,10.84
895.15,10.79
899.73,10.74
905.47,10.67
910.56,10.61
914.83,10.56
926.64,10.43
926.89,10.43
929.13,10.40
935.55,10.33
935.80,10.33
950.43,10.18
955.55,10.11
959.29,10.06
966.79,10.00
968.19,9.99
979.31,9.88
983.75,9.84
985.44,9.82
995.38,9.73
999.32,9.68
1000.00,9.68
