t,x,y,z,r,u,v,w,vt
0,300,0,20,300,0,0,0,0
0.071417,300,6.49E-02,19.9757,300.000007,-6.82E+00,1.81708,-0.679673,1.81855519
0.117722,300,1.73E-01,19.9345,300.0000501,-0.000506914,2.8694,-1.1017,2.869399814
0.189558,300,0.43344,19.8328,300.0003131,-0.00103126,4.37087,-1.73065,4.370866928
0.264108,300,0.81128,19.6804,300.001097,-0.00317158,5.76556,-2.35545,5.765547495
0.322072,300,1.17E+00,19.5303,300.0022966,-0.00613514,6.74531,-2.82502,6.745282369
0.405001,299.999,1.78654,19.2691,300.0043195,-0.0133141,8.03046,-3.4735,8.030396894
0.491784,299.997,2.5359,18.9393,300.0077179,-0.0236203,9.23942,-4.12771,9.239289575
0.583413,299.994,3.43522,18.5305,300.0136676,-0.0377325,10.3899,-4.79493,10.38965093
0.607945,299.993,3.69358,18.4107,300.0157372,-0.042028,10.6735,-4.97105,10.67320851
0.685797,299.989,4.55823,18.0025,300.0236284,-0.058627,11.5391,-5.51752,11.53865889
0.791385,299.982,5.83374,17.382,300.0387189,-0.0845582,12.6212,-6.23489,12.6204582
0.901169,299.971,7.27524,16.6579,300.0592108,-0.11642,13.6393,-6.95704,13.63811307
1.01742,299.955,8.91783,15.8061,300.0875368,-0.155673,14.6195,-7.69708,14.61766935
1.13732,299.934,10.726,14.839,300.125726,-0.202166,15.5424,-8.43523,15.5396963
1.22155,299.915,12.0604,14.1072,300.1573928,-0.239266,16.1418,-8.94052,16.13837842
1.36398,299.876,14.4267,12.7751,300.2228257,-0.30971,17.0874,-9.76448,17.08254276
1.39205,299.867,14.909,12.4988,300.2373994,-0.324891,17.2672,-9.92092,17.26203089
1.55285,299.807,17.7649,10.8341,300.3328635,-0.418978,18.2536,-10.7841,18.24642196
1.60872,299.783,18.7937,10.2235,300.3715204,-0.454505,18.5751,-11.0747,18.56714321
1.7618,299.705,21.7015,8.46967,300.4896706,-0.558646,19.4166,-11.8394,19.40624298
1.76958,299.701,21.8527,8.37741,300.4966387,-0.564281,19.4575,-11.8773,19.4470171
1.78487,299.692,22.1509,8.19524,300.5094961,-0.575564,19.5376,-11.9513,19.52687604
1.83235,299.664,23.0844,7.62235,300.5518298,-0.611607,19.7827,-12.1784,19.77123745
1.91335,299.612,24.7031,6.62071,300.6286641,-0.675827,20.1891,-12.5561,20.17635833
2.00461,299.547,26.5658,5.456,300.7227077,-0.752532,20.63,-12.9672,20.61582337
2.06646,299.498,27.8507,4.64564,300.7901486,-0.80718,20.9194,-13.2368,20.90427169
2.11012,299.462,28.7683,4.06374,300.840663,-0.847023,21.1188,-13.4228,21.10301657
2.20777,299.375,30.8517,2.73327,300.9604925,-0.939951,21.5515,-13.8265,21.53431949
2.25401,299.33,31.8528,2.08964,301.0200156,-0.985906,21.7493,-14.0116,21.73151783
2.28724,299.296,32.5879,1.62543,301.0648881,-1.10418,22.4952,-13.9299,22.48254962
2.31905,299.26,33.3083,1.18164,301.1079382,-1.16367,22.7943,-13.9713,22.78313261
2.32061,299.258,33.344,1.15977,301.1099017,-1.16538,22.8011,-13.9773,22.78991815
2.36302,299.208,34.3123,0.563429,301.1689911,-1.19704,22.8646,-14.1456,22.85210176
2.40258,299.16,35.2144,3.33E-16,301.2254298,-1.20205,22.7462,-14.3423,22.73075904
