t,x,y,z,r,u,v,w,vt
0.0000,300.00,0.00,20.00,300.00,0.00,0.00,0.00,0.00
0.0499,299.98,0.06,19.99,299.98,-0.89,2.55,-0.46,2.55
0.0983,299.92,0.24,19.96,299.92,-1.64,4.73,-0.89,4.74
0.1484,299.82,0.53,19.90,299.82,-2.35,6.75,-1.31,6.75
0.2010,299.68,0.93,19.82,299.68,-3.01,8.63,-1.74,8.64
0.2240,299.60,1.14,19.78,299.61,-3.27,9.38,-1.92,9.39
0.2242,299.60,1.14,19.78,299.61,-3.27,9.39,-1.92,9.40
0.2243,299.60,1.14,19.78,299.61,-3.27,9.39,-1.92,9.40
0.2851,299.38,1.77,19.65,299.39,-3.94,11.26,-2.38,11.28
0.3465,299.12,2.51,19.49,299.13,-4.54,12.93,-2.83,12.97
0.4108,298.81,3.39,19.29,298.83,-5.11,14.50,-3.29,14.56
0.4179,298.78,3.50,19.27,298.80,-5.16,14.66,-3.34,14.72
0.4896,298.39,4.61,19.01,298.42,-5.74,16.25,-3.83,16.33
0.4914,298.38,4.64,19.00,298.41,-5.76,16.29,-3.85,16.37
0.5667,297.92,5.92,18.69,297.98,-6.32,17.75,-4.36,17.87
0.6423,297.42,7.31,18.34,297.51,-6.84,19.05,-4.87,19.21
0.7213,296.86,8.86,17.94,297.00,-7.34,20.27,-5.38,20.48
0.7694,296.50,9.85,17.67,296.67,-7.62,20.94,-5.68,21.18
0.8574,295.81,11.75,17.15,296.04,-8.14,22.10,-6.21,22.40
0.9324,295.19,13.44,16.67,295.49,-8.56,23.00,-6.64,23.37
1.0012,294.58,15.04,16.20,294.97,-8.92,23.75,-7.04,24.17
1.1077,293.60,17.63,15.42,294.13,-9.47,24.82,-7.64,25.35
1.1464,293.23,18.60,15.12,293.82,-9.66,25.18,-7.85,25.74
1.2609,292.10,21.54,14.18,292.89,-10.24,26.20,-8.46,26.88
1.3292,291.38,23.35,13.59,292.32,-10.58,26.75,-8.82,27.51
1.3534,291.13,24.00,13.38,292.11,-10.70,26.93,-8.95,27.72
1.3619,291.04,24.23,13.30,292.04,-10.74,26.99,-8.99,27.79
1.4031,290.59,25.34,12.93,291.69,-10.94,27.30,-9.21,28.15
1.4169,290.44,25.72,12.80,291.57,-11.01,27.40,-9.28,28.27
1.4288,290.31,26.05,12.69,291.47,-11.07,27.49,-9.34,28.37
1.4881,289.64,27.69,12.13,290.96,-11.37,27.94,-9.63,28.90
1.5045,289.45,28.15,11.97,290.82,-11.45,28.05,-9.72,29.03
1.6336,287.93,31.83,10.67,289.69,-12.12,28.89,-10.36,30.05
1.6949,287.18,33.61,10.03,289.14,-12.43,29.24,-10.66,30.48
1.7153,286.93,34.21,9.81,288.96,-12.54,29.35,-10.76,30.62
1.7618,286.34,35.58,9.30,288.54,-12.78,29.59,-10.98,30.94
1.8623,285.03,38.58,8.18,287.62,-13.31,30.09,-11.43,31.60
1.8691,284.94,38.78,8.10,287.56,-13.35,30.12,-11.46,31.65
1.9192,284.26,40.30,7.52,287.10,-13.61,30.35,-11.69,31.96
1.9419,283.95,40.99,7.25,286.89,-13.74,30.45,-11.79,32.10
1.9822,283.39,42.22,6.77,286.52,-13.96,30.64,-11.96,32.36
2.0600,282.29,44.61,5.83,285.79,-14.38,30.94,-12.31,32.81
2.0831,281.96,45.33,5.54,285.58,-14.51,31.03,-12.41,32.94
2.1589,280.84,47.69,4.59,284.86,-14.93,31.27,-12.74,33.32
2.1865,280.43,48.55,4.24,284.60,-15.08,31.34,-12.85,33.46
2.2064,280.12,49.18,3.98,284.41,-15.20,31.40,-12.93,33.55
2.2401,279.61,50.24,3.54,284.09,-15.38,31.47,-13.07,33.69
2.2451,279.53,50.39,3.48,284.04,-15.41,31.48,-13.09,33.71
2.2488,279.48,50.51,3.43,284.00,-15.43,31.49,-13.11,33.73
2.3028,278.63,52.21,2.72,283.48,-15.75,31.59,-13.33,33.95
2.3421,278.01,53.46,2.19,283.10,-15.99,31.66,-13.49,34.10
2.3602,277.72,54.03,1.94,282.93,-16.09,31.68,-13.56,34.17
2.4009,277.06,55.32,1.39,282.53,-16.32,31.72,-13.72,34.30
2.4543,276.18,57.01,0.65,282.00,-16.61,31.75,-13.93,34.45
2.4550,276.17,57.04,0.64,282.00,-16.61,31.75,-13.93,34.45
2.4768,275.81,57.73,0.34,281.78,-16.73,31.75,-14.01,34.51
2.4896,275.59,58.14,0.16,281.66,-16.79,31.75,-14.06,34.53
2.4939,275.52,58.27,0.10,281.61,-16.81,31.75,-14.08,34.54
2.5007,275.40,58.49,0.00,281.55,-16.84,31.75,-14.11,34.55
