 TIME,FX_SUM,FY_SUM
  0.10,       3780.134,    -548136.377
  0.20,       3790.182,    -548126.924
  0.30,       3800.269,    -548117.433
  0.40,       3810.397,    -548107.904
  0.50,       3820.565,    -548098.337
  0.60,       3830.774,    -548088.732
  0.70,       3841.023,    -548079.088
  0.80,       3851.314,    -548069.406
  0.90,       3861.646,    -548059.685
  1.00,       3872.020,    -548049.924
  1.10,       3882.435,    -548040.125
  1.20,       3892.892,    -548030.286
  1.30,       3903.392,    -548020.407
  1.40,       3913.934,    -548010.488
  1.50,       3924.519,    -548000.530
  1.60,       3935.146,    -547990.530
  1.70,       3945.817,    -547980.491
  1.80,       3956.531,    -547970.410
  1.90,       3967.288,    -547960.289
  2.00,       3978.090,    -547950.126
  2.10,       3988.936,    -547939.921
  2.20,       3999.825,    -547929.676
  2.30,       4010.760,    -547919.388
  2.40,       4021.739,    -547909.058
  2.50,       4032.763,    -547898.685
  2.60,       4043.833,    -547888.270
  2.70,       4054.948,    -547877.812
  2.80,       4066.109,    -547867.311
  2.90,       4077.315,    -547856.767
  3.00,       4088.569,    -547846.179
  3.10,       4099.868,    -547835.548
  3.20,       4111.215,    -547824.872
  3.30,       4122.608,    -547814.152
  3.40,       4134.049,    -547803.388
  3.50,       4145.538,    -547792.579
  3.60,       4157.074,    -547781.725
  3.70,       4168.658,    -547770.825
  3.80,       4180.291,    -547759.880
  3.90,       4191.972,    -547748.890
  4.00,       4203.703,    -547737.853
  4.10,       4215.482,    -547726.770
  4.20,       4227.311,    -547715.641
  4.30,       4239.190,    -547704.464
  4.40,       4251.118,    -547693.241
  4.50,       4263.097,    -547681.970
  4.60,       4275.127,    -547670.652
  4.70,       4287.207,    -547659.286
  4.80,       4299.339,    -547647.872
  4.90,       4311.522,    -547636.409
  5.00,       4323.757,    -547624.898
  5.10,       4336.044,    -547613.337
  5.20,       4348.383,    -547601.728
  5.30,       4360.774,    -547590.069
  5.40,       4373.219,    -547578.360
  5.50,       4385.717,    -547566.601
  5.60,       4398.268,    -547554.792
  5.70,       4410.873,    -547542.932
  5.80,       4423.532,    -547531.022
  5.90,       4436.246,    -547519.060
  6.00,       4449.014,    -547507.046
  6.10,       4461.838,    -547494.981
  6.20,       4474.717,    -547482.864
  6.30,       4487.651,    -547470.694
  6.40,       4500.642,    -547458.471
  6.50,       4513.689,    -547446.196
  6.60,       4526.793,    -547433.867
  6.70,       4539.953,    -547421.485
  6.80,       4553.171,    -547409.048
  6.90,       4566.447,    -547396.558
  7.00,       4579.780,    -547384.013
  7.10,       4593.172,    -547371.413
  7.20,       4606.623,    -547358.758
  7.30,       4620.132,    -547346.047
  7.40,       4633.701,    -547333.280
  7.50,       4647.330,    -547320.457
  7.60,       4661.018,    -547307.578
  7.70,       4674.767,    -547294.642
  7.80,       4688.577,    -547281.649
  7.90,       4702.448,    -547268.598
  8.00,       4716.380,    -547255.490
  8.10,       4730.375,    -547242.323
  8.20,       4744.431,    -547229.098
  8.30,       4758.550,    -547215.813
  8.40,       4772.732,    -547202.470
  8.50,       4786.977,    -547189.067
  8.60,       4801.286,    -547175.604
  8.70,       4815.659,    -547162.081
  8.80,       4830.097,    -547148.497
  8.90,       4844.599,    -547134.852
  9.00,       4859.167,    -547121.146
  9.10,       4873.800,    -547107.378
  9.20,       4888.499,    -547093.548
  9.30,       4903.265,    -547079.656
  9.40,       4918.097,    -547065.700
  9.50,       4932.997,    -547051.682
  9.60,       4947.964,    -547037.600
  9.70,       4962.999,    -547023.453
  9.80,       4978.103,    -547009.243
  9.90,       4993.276,    -546994.967
 10.00,       5008.517,    -546980.627
 10.10,       5023.829,    -546966.221
 10.20,       5039.211,    -546951.749
 10.30,       5054.663,    -546937.210
 10.40,       5070.186,    -546922.605
 10.50,       5085.780,    -546907.933
 10.60,       5101.447,    -546893.193
 10.70,       5117.185,    -546878.385
 10.80,       5132.997,    -546863.508
 10.90,       5148.881,    -546848.563
 11.00,       5164.840,    -546833.548
 11.10,       5180.872,    -546818.464
 11.20,       5196.979,    -546803.310
 11.30,       5213.160,    -546788.085
 11.40,       5229.418,    -546772.789
 11.50,       5245.751,    -546757.422
 11.60,       5262.161,    -546741.982
 11.70,       5278.647,    -546726.471
 11.80,       5295.211,    -546710.886
 11.90,       5311.853,    -546695.229
 12.00,       5328.573,    -546679.497
 12.10,       5345.371,    -546663.692
 12.20,       5362.250,    -546647.812
 12.30,       5379.208,    -546631.857
 12.40,       5396.246,    -546615.826
 12.50,       5413.365,    -546599.719
 12.60,       5430.565,    -546583.536
 12.70,       5447.848,    -546567.275
 12.80,       5465.212,    -546550.938
 12.90,       5482.660,    -546534.522
 13.00,       5500.191,    -546518.027
 13.10,       5517.806,    -546501.454
 13.20,       5535.505,    -546484.801
 13.30,       5553.289,    -546468.069
 13.40,       5571.159,    -546451.255
 13.50,       5589.116,    -546434.361
 13.60,       5607.158,    -546417.385
 13.70,       5625.288,    -546400.328
 13.80,       5643.506,    -546383.187
 13.90,       5661.812,    -546365.963
 14.00,       5680.207,    -546348.656
 14.10,       5698.692,    -546331.265
 14.20,       5717.266,    -546313.789
 14.30,       5735.931,    -546296.227
 14.40,       5754.688,    -546278.580
 14.50,       5773.536,    -546260.846
 14.60,       5792.477,    -546243.025
 14.70,       5811.511,    -546225.117
 14.80,       5830.638,    -546207.121
 14.90,       5849.860,    -546189.036
 15.00,       5869.176,    -546170.861
 15.10,       5888.589,    -546152.597
 15.20,       5908.097,    -546134.243
 15.30,       5927.702,    -546115.797
 15.40,       5947.404,    -546097.260
 15.50,       5967.205,    -546078.630
 15.60,       5987.104,    -546059.908
 15.70,       6007.102,    -546041.092
 15.80,       6027.201,    -546022.182
 15.90,       6047.400,    -546003.177
 16.00,       6067.701,    -545984.077
 16.10,       6088.103,    -545964.881
 16.20,       6108.608,    -545945.588
 16.30,       6129.217,    -545926.198
 16.40,       6149.930,    -545906.711
 16.50,       6170.747,    -545887.124
 16.60,       6191.670,    -545867.438
 16.70,       6212.700,    -545847.653
 16.80,       6233.836,    -545827.766
 16.90,       6255.080,    -545807.779
 17.00,       6276.432,    -545787.689
 17.10,       6297.893,    -545767.497
 17.20,       6319.464,    -545747.202
 17.30,       6341.146,    -545726.802
 17.40,       6362.939,    -545706.298
 17.50,       6384.845,    -545685.688
 17.60,       6406.863,    -545664.972
 17.70,       6428.995,    -545644.149
 17.80,       6451.241,    -545623.218
 17.90,       6473.602,    -545602.179
 18.00,       6496.080,    -545581.031
 18.10,       6518.674,    -545559.773
 18.20,       6541.386,    -545538.404
 18.30,       6564.216,    -545516.924
 18.40,       6587.166,    -545495.331
 18.50,       6610.236,    -545473.626
 18.60,       6633.427,    -545451.806
 18.70,       6656.739,    -545429.873
 18.80,       6680.174,    -545407.823
 18.90,       6703.733,    -545385.658
 19.00,       6727.416,    -545363.376
 19.10,       6751.224,    -545340.976
 19.20,       6775.158,    -545318.457
 19.30,       6799.219,    -545295.818
 19.40,       6823.408,    -545273.060
 19.50,       6847.726,    -545250.180
 19.60,       6872.174,    -545227.178
 19.70,       6896.752,    -545204.053
 19.80,       6921.462,    -545180.805
 19.90,       6946.304,    -545157.432
 20.00,       6971.280,    -545133.933
 20.10,       6996.390,    -545110.308
 20.20,       7021.636,    -545086.555
 20.30,       7047.018,    -545062.675
 20.40,       7072.537,    -545038.665
 20.50,       7098.194,    -545014.525
 20.60,       7123.991,    -544990.253
 20.70,       7149.928,    -544965.850
 20.80,       7176.006,    -544941.314
 20.90,       7202.227,    -544916.644
 21.00,       7228.591,    -544891.840
 21.10,       7255.099,    -544866.899
 21.20,       7281.753,    -544841.821
 21.30,       7308.553,    -544816.606
 21.40,       7335.501,    -544791.252
 21.50,       7362.598,    -544765.758
 21.60,       7389.844,    -544740.123
 21.70,       7417.242,    -544714.346
 21.80,       7444.791,    -544688.426
 21.90,       7472.493,    -544662.362
 22.00,       7500.350,    -544636.153
 22.10,       7528.362,    -544609.797
 22.20,       7556.530,    -544583.295
 22.30,       7584.856,    -544556.644
 22.40,       7613.341,    -544529.844
 22.50,       7641.986,    -544502.893
 22.60,       7670.793,    -544475.790
 22.70,       7699.761,    -544448.535
 22.80,       7728.894,    -544421.125
 22.90,       7758.191,    -544393.561
 23.00,       7787.655,    -544365.840
 23.10,       7817.285,    -544337.961
 23.20,       7847.085,    -544309.924
 23.30,       7877.054,    -544281.727
 23.40,       7907.195,    -544253.369
 23.50,       7937.508,    -544224.849
 23.60,       7967.995,    -544196.165
 23.70,       7998.657,    -544167.317
 23.80,       8029.496,    -544138.302
 23.90,       8060.512,    -544109.120
 24.00,       8091.708,    -544079.769
 24.10,       8123.084,    -544050.249
 24.20,       8154.642,    -544020.557
 24.30,       8186.384,    -543990.693
 24.40,       8218.310,    -543960.655
 24.50,       8250.422,    -543930.441
 24.60,       8282.723,    -543900.052
 24.70,       8315.212,    -543869.484
 24.80,       8347.892,    -543838.737
 24.90,       8380.764,    -543807.809
 25.00,       8413.830,    -543776.699
 25.10,       8447.090,    -543745.405
 25.20,       8480.548,    -543713.927
 25.30,       8514.203,    -543682.262
 25.40,       8548.059,    -543650.409
 25.50,       8582.115,    -543618.367
 25.60,       8616.375,    -543586.134
 25.70,       8650.839,    -543553.708
 25.80,       8685.509,    -543521.089
 25.90,       8720.387,    -543488.274
 26.00,       8755.474,    -543455.262
 26.10,       8790.772,    -543422.051
 26.20,       8826.283,    -543388.640
 26.30,       8862.009,    -543355.028
 26.40,       8897.951,    -543321.212
 26.50,       8934.111,    -543287.190
 26.60,       8970.490,    -543252.963
 26.70,       9007.091,    -543218.527
 26.80,       9043.915,    -543183.880
 26.90,       9080.965,    -543149.022
 27.00,       9118.241,    -543113.951
 27.10,       9155.746,    -543078.664
 27.20,       9193.482,    -543043.161
 27.30,       9231.450,    -543007.438
 27.40,       9269.652,    -542971.496
 27.50,       9308.091,    -542935.330
 27.60,       9346.768,    -542898.941
 27.70,       9385.685,    -542862.326
 27.80,       9424.845,    -542825.482
 27.90,       9464.249,    -542788.409
 28.00,       9503.899,    -542751.104
 28.10,       9543.797,    -542713.566
 28.20,       9583.946,    -542675.792
 28.30,       9624.347,    -542637.781
 28.40,       9665.002,    -542599.530
 28.50,       9705.915,    -542561.038
 28.60,       9747.086,    -542522.302
 28.70,       9788.518,    -542483.320
 28.80,       9830.213,    -542444.091
 28.90,       9872.174,    -542404.613
 29.00,       9914.402,    -542364.882
 29.10,       9956.901,    -542324.898
 29.20,       9999.671,    -542284.657
 29.30,      10042.716,    -542244.158
 29.40,      10086.038,    -542203.399
 29.50,      10129.639,    -542162.377
 29.60,      10173.522,    -542121.089
 29.70,      10217.689,    -542079.535
 29.80,      10262.143,    -542037.711
 29.90,      10306.885,    -541995.615
 30.00,      10351.919,    -541953.245
 30.10,      10397.247,    -541910.599
 30.20,      10442.871,    -541867.673
 30.30,      10488.794,    -541824.466
 30.40,      10535.020,    -541780.976
 30.50,      10581.549,    -541737.199
 30.60,      10628.385,    -541693.133
 30.70,      10675.532,    -541648.775
 30.80,      10722.990,    -541604.124
 30.90,      10770.764,    -541559.176
 31.00,      10818.856,    -541513.930
 31.10,      10867.268,    -541468.381
 31.20,      10916.004,    -541422.528
 31.30,      10965.066,    -541376.368
 31.40,      11014.458,    -541329.898
 31.50,      11064.182,    -541283.115
 31.60,      11114.242,    -541236.017
 31.70,      11164.639,    -541188.601
 31.80,      11215.378,    -541140.864
 31.90,      11266.461,    -541092.802
 32.00,      11317.892,    -541044.414
 32.10,      11369.673,    -540995.696
 32.20,      11421.808,    -540946.645
 32.30,      11474.300,    -540897.258
 32.40,      11527.152,    -540847.533
 32.50,      11580.368,    -540797.465
 32.60,      11633.951,    -540747.052
 32.70,      11687.904,    -540696.291
 32.80,      11742.230,    -540645.179
 32.90,      11796.933,    -540593.712
 33.00,      11852.017,    -540541.887
 33.10,      11907.485,    -540489.700
 33.20,      11963.340,    -540437.149
 33.30,      12019.586,    -540384.230
 33.40,      12076.227,    -540330.940
 33.50,      12133.267,    -540277.275
 33.60,      12190.709,    -540223.231
 33.70,      12248.556,    -540168.806
 33.80,      12306.814,    -540113.995
 33.90,      12365.485,    -540058.795
 34.00,      12424.573,    -540003.202
 34.10,      12484.083,    -539947.213
 34.20,      12544.018,    -539890.824
 34.30,      12604.383,    -539834.031
 34.40,      12665.181,    -539776.829
 34.50,      12726.417,    -539719.217
 34.60,      12788.094,    -539661.188
 34.70,      12850.218,    -539602.740
 34.80,      12912.792,    -539543.868
 34.90,      12975.820,    -539484.568
 35.00,      13039.308,    -539424.837
 35.10,      13103.259,    -539364.669
 35.20,      13167.678,    -539304.062
 35.30,      13232.569,    -539243.010
 35.40,      13297.937,    -539181.509
 35.50,      13363.788,    -539119.554
 35.60,      13430.124,    -539057.143
 35.70,      13496.952,    -538994.269
 35.80,      13564.276,    -538930.928
