 TIME,UX,UY
  0.10,          1.243,        -15.982
  0.20,          1.245,        -15.982
  0.30,          1.247,        -15.981
  0.40,          1.248,        -15.981
  0.50,          1.250,        -15.981
  0.60,          1.252,        -15.981
  0.70,          1.253,        -15.981
  0.80,          1.255,        -15.981
  0.90,          1.257,        -15.981
  1.00,          1.258,        -15.981
  1.10,          1.260,        -15.980
  1.20,          1.262,        -15.980
  1.30,          1.264,        -15.980
  1.40,          1.265,        -15.980
  1.50,          1.267,        -15.980
  1.60,          1.269,        -15.980
  1.70,          1.270,        -15.980
  1.80,          1.272,        -15.979
  1.90,          1.274,        -15.979
  2.00,          1.276,        -15.979
  2.10,          1.277,        -15.979
  2.20,          1.279,        -15.979
  2.30,          1.281,        -15.979
  2.40,          1.283,        -15.979
  2.50,          1.284,        -15.978
  2.60,          1.286,        -15.978
  2.70,          1.288,        -15.978
  2.80,          1.290,        -15.978
  2.90,          1.291,        -15.978
  3.00,          1.293,        -15.978
  3.10,          1.295,        -15.978
  3.20,          1.297,        -15.977
  3.30,          1.299,        -15.977
  3.40,          1.300,        -15.977
  3.50,          1.302,        -15.977
  3.60,          1.304,        -15.977
  3.70,          1.306,        -15.977
  3.80,          1.308,        -15.977
  3.90,          1.310,        -15.976
  4.00,          1.311,        -15.976
  4.10,          1.313,        -15.976
  4.20,          1.315,        -15.976
  4.30,          1.317,        -15.976
  4.40,          1.319,        -15.976
  4.50,          1.321,        -15.976
  4.60,          1.323,        -15.975
  4.70,          1.324,        -15.975
  4.80,          1.326,        -15.975
  4.90,          1.328,        -15.975
  5.00,          1.330,        -15.975
  5.10,          1.332,        -15.975
  5.20,          1.334,        -15.974
  5.30,          1.336,        -15.974
  5.40,          1.338,        -15.974
  5.50,          1.340,        -15.974
  5.60,          1.341,        -15.974
  5.70,          1.343,        -15.974
  5.80,          1.345,        -15.973
  5.90,          1.347,        -15.973
  6.00,          1.349,        -15.973
  6.10,          1.351,        -15.973
  6.20,          1.353,        -15.973
  6.30,          1.355,        -15.973
  6.40,          1.357,        -15.972
  6.50,          1.359,        -15.972
  6.60,          1.361,        -15.972
  6.70,          1.363,        -15.972
  6.80,          1.365,        -15.972
  6.90,          1.367,        -15.972
  7.00,          1.369,        -15.971
  7.10,          1.371,        -15.971
  7.20,          1.373,        -15.971
  7.30,          1.375,        -15.971
  7.40,          1.377,        -15.971
  7.50,          1.379,        -15.971
  7.60,          1.381,        -15.970
  7.70,          1.383,        -15.970
  7.80,          1.385,        -15.970
  7.90,          1.387,        -15.970
  8.00,          1.389,        -15.970
  8.10,          1.391,        -15.970
  8.20,          1.393,        -15.969
  8.30,          1.396,        -15.969
  8.40,          1.398,        -15.969
  8.50,          1.400,        -15.969
  8.60,          1.402,        -15.969
  8.70,          1.404,        -15.968
  8.80,          1.406,        -15.968
  8.90,          1.408,        -15.968
  9.00,          1.410,        -15.968
  9.10,          1.412,        -15.968
  9.20,          1.415,        -15.967
  9.30,          1.417,        -15.967
  9.40,          1.419,        -15.967
  9.50,          1.421,        -15.967
  9.60,          1.423,        -15.967
  9.70,          1.425,        -15.967
  9.80,          1.427,        -15.966
  9.90,          1.430,        -15.966
 10.00,          1.432,        -15.966
 10.10,          1.434,        -15.966
 10.20,          1.436,        -15.966
 10.30,          1.438,        -15.965
 10.40,          1.441,        -15.965
 10.50,          1.443,        -15.965
 10.60,          1.445,        -15.965
 10.70,          1.447,        -15.965
 10.80,          1.450,        -15.964
 10.90,          1.452,        -15.964
 11.00,          1.454,        -15.964
 11.10,          1.456,        -15.964
 11.20,          1.459,        -15.963
 11.30,          1.461,        -15.963
 11.40,          1.463,        -15.963
 11.50,          1.465,        -15.963
 11.60,          1.468,        -15.963
 11.70,          1.470,        -15.962
 11.80,          1.472,        -15.962
 11.90,          1.475,        -15.962
 12.00,          1.477,        -15.962
 12.10,          1.479,        -15.962
 12.20,          1.482,        -15.961
 12.30,          1.484,        -15.961
 12.40,          1.486,        -15.961
 12.50,          1.489,        -15.961
 12.60,          1.491,        -15.960
 12.70,          1.494,        -15.960
 12.80,          1.496,        -15.960
 12.90,          1.498,        -15.960
 13.00,          1.501,        -15.960
 13.10,          1.503,        -15.959
 13.20,          1.506,        -15.959
 13.30,          1.508,        -15.959
 13.40,          1.510,        -15.959
 13.50,          1.513,        -15.958
 13.60,          1.515,        -15.958
 13.70,          1.518,        -15.958
 13.80,          1.520,        -15.958
 13.90,          1.523,        -15.958
 14.00,          1.525,        -15.957
 14.10,          1.528,        -15.957
 14.20,          1.530,        -15.957
 14.30,          1.533,        -15.957
 14.40,          1.535,        -15.956
 14.50,          1.538,        -15.956
 14.60,          1.540,        -15.956
 14.70,          1.543,        -15.956
 14.80,          1.545,        -15.955
 14.90,          1.548,        -15.955
 15.00,          1.550,        -15.955
 15.10,          1.553,        -15.955
 15.20,          1.556,        -15.954
 15.30,          1.558,        -15.954
 15.40,          1.561,        -15.954
 15.50,          1.563,        -15.954
 15.60,          1.566,        -15.953
 15.70,          1.569,        -15.953
 15.80,          1.571,        -15.953
 15.90,          1.574,        -15.953
 16.00,          1.577,        -15.952
 16.10,          1.579,        -15.952
 16.20,          1.582,        -15.952
 16.30,          1.585,        -15.951
 16.40,          1.587,        -15.951
 16.50,          1.590,        -15.951
 16.60,          1.593,        -15.951
 16.70,          1.595,        -15.950
 16.80,          1.598,        -15.950
 16.90,          1.601,        -15.950
 17.00,          1.604,        -15.950
 17.10,          1.606,        -15.949
 17.20,          1.609,        -15.949
 17.30,          1.612,        -15.949
 17.40,          1.615,        -15.948
 17.50,          1.617,        -15.948
 17.60,          1.620,        -15.948
 17.70,          1.623,        -15.948
 17.80,          1.626,        -15.947
 17.90,          1.629,        -15.947
 18.00,          1.632,        -15.947
 18.10,          1.634,        -15.946
 18.20,          1.637,        -15.946
 18.30,          1.640,        -15.946
 18.40,          1.643,        -15.946
 18.50,          1.646,        -15.945
 18.60,          1.649,        -15.945
 18.70,          1.652,        -15.945
 18.80,          1.655,        -15.944
 18.90,          1.657,        -15.944
 19.00,          1.660,        -15.944
 19.10,          1.663,        -15.943
 19.20,          1.666,        -15.943
 19.30,          1.669,        -15.943
 19.40,          1.672,        -15.943
 19.50,          1.675,        -15.942
 19.60,          1.678,        -15.942
 19.70,          1.681,        -15.942
 19.80,          1.684,        -15.941
 19.90,          1.687,        -15.941
 20.00,          1.690,        -15.941
 20.10,          1.693,        -15.940
 20.20,          1.697,        -15.940
 20.30,          1.700,        -15.940
 20.40,          1.703,        -15.939
 20.50,          1.706,        -15.939
 20.60,          1.709,        -15.939
 20.70,          1.712,        -15.938
 20.80,          1.715,        -15.938
 20.90,          1.718,        -15.938
 21.00,          1.721,        -15.937
 21.10,          1.725,        -15.937
 21.20,          1.728,        -15.937
 21.30,          1.731,        -15.936
 21.40,          1.734,        -15.936
 21.50,          1.737,        -15.936
 21.60,          1.741,        -15.935
 21.70,          1.744,        -15.935
 21.80,          1.747,        -15.935
 21.90,          1.750,        -15.934
 22.00,          1.754,        -15.934
 22.10,          1.757,        -15.933
 22.20,          1.760,        -15.933
 22.30,          1.764,        -15.933
 22.40,          1.767,        -15.932
 22.50,          1.770,        -15.932
 22.60,          1.774,        -15.932
 22.70,          1.777,        -15.931
 22.80,          1.780,        -15.931
 22.90,          1.784,        -15.930
 23.00,          1.787,        -15.930
 23.10,          1.790,        -15.930
 23.20,          1.794,        -15.929
 23.30,          1.797,        -15.929
 23.40,          1.801,        -15.929
 23.50,          1.804,        -15.928
 23.60,          1.808,        -15.928
 23.70,          1.811,        -15.927
 23.80,          1.815,        -15.927
 23.90,          1.818,        -15.927
 24.00,          1.822,        -15.926
 24.10,          1.825,        -15.926
 24.20,          1.829,        -15.925
 24.30,          1.832,        -15.925
 24.40,          1.836,        -15.925
 24.50,          1.840,        -15.924
 24.60,          1.843,        -15.924
 24.70,          1.847,        -15.923
 24.80,          1.851,        -15.923
 24.90,          1.854,        -15.922
 25.00,          1.858,        -15.922
 25.10,          1.862,        -15.922
 25.20,          1.865,        -15.921
 25.30,          1.869,        -15.921
 25.40,          1.873,        -15.920
 25.50,          1.876,        -15.920
 25.60,          1.880,        -15.919
 25.70,          1.884,        -15.919
 25.80,          1.888,        -15.918
 25.90,          1.892,        -15.918
 26.00,          1.895,        -15.918
 26.10,          1.899,        -15.917
 26.20,          1.903,        -15.917
 26.30,          1.907,        -15.916
 26.40,          1.911,        -15.916
 26.50,          1.915,        -15.915
 26.60,          1.919,        -15.915
 26.70,          1.923,        -15.914
 26.80,          1.927,        -15.914
 26.90,          1.931,        -15.913
 27.00,          1.934,        -15.913
 27.10,          1.938,        -15.912
 27.20,          1.943,        -15.912
 27.30,          1.947,        -15.911
 27.40,          1.951,        -15.911
 27.50,          1.955,        -15.910
 27.60,          1.959,        -15.910
 27.70,          1.963,        -15.909
 27.80,          1.967,        -15.909
 27.90,          1.971,        -15.908
 28.00,          1.975,        -15.908
 28.10,          1.979,        -15.907
 28.20,          1.984,        -15.907
 28.30,          1.988,        -15.906
 28.40,          1.992,        -15.906
 28.50,          1.996,        -15.905
 28.60,          2.000,        -15.905
 28.70,          2.005,        -15.904
 28.80,          2.009,        -15.904
 28.90,          2.013,        -15.903
 29.00,          2.018,        -15.903
 29.10,          2.022,        -15.902
 29.20,          2.026,        -15.901
 29.30,          2.031,        -15.901
 29.40,          2.035,        -15.900
 29.50,          2.040,        -15.900
 29.60,          2.044,        -15.899
 29.70,          2.048,        -15.899
 29.80,          2.053,        -15.898
 29.90,          2.057,        -15.897
 30.00,          2.062,        -15.897
 30.10,          2.066,        -15.896
 30.20,          2.071,        -15.896
 30.30,          2.076,        -15.895
 30.40,          2.080,        -15.894
 30.50,          2.085,        -15.894
 30.60,          2.089,        -15.893
 30.70,          2.094,        -15.893
 30.80,          2.099,        -15.892
 30.90,          2.103,        -15.891
 31.00,          2.108,        -15.891
 31.10,          2.113,        -15.890
 31.20,          2.118,        -15.890
 31.30,          2.122,        -15.889
 31.40,          2.127,        -15.888
 31.50,          2.132,        -15.888
 31.60,          2.137,        -15.887
 31.70,          2.142,        -15.886
 31.80,          2.147,        -15.886
 31.90,          2.152,        -15.885
 32.00,          2.157,        -15.884
 32.10,          2.162,        -15.884
 32.20,          2.166,        -15.883
 32.30,          2.171,        -15.882
 32.40,          2.177,        -15.882
 32.50,          2.182,        -15.881
 32.60,          2.187,        -15.880
 32.70,          2.192,        -15.879
 32.80,          2.197,        -15.879
 32.90,          2.202,        -15.878
 33.00,          2.207,        -15.877
 33.10,          2.212,        -15.877
 33.20,          2.218,        -15.876
 33.30,          2.223,        -15.875
 33.40,          2.228,        -15.874
 33.50,          2.233,        -15.874
 33.60,          2.239,        -15.873
 33.70,          2.244,        -15.872
