[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -86.603 [m], -50 [m], 0 [m]
Axis 3 Point = -86.603 [m], -50 [m], 1 [m]
Plane 13 Point = -86 [m], -50 [m], 1 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-4.09102631e+000, -1.49307938e+001, 6.22393417e+001, 1.32825745e+003
-4.27152252e+000, -1.50496368e+001, 6.19882927e+001, 1.70283630e+003
-4.59701538e+000, -1.49812469e+001, 6.21909332e+001, 1.66848303e+003
1.12003937e+001, 1.16641998e+001, 9.26110840e+001, -1.35557996e+003
1.05597153e+001, 1.15824203e+001, 9.26379471e+001, 2.49554150e+003
1.08458405e+001, 1.17074509e+001, 9.23387451e+001, 1.27587256e+003
-4.36988068e+000, 4.15457535e+000, 2.30000000e+002, 1.92276501e+003
-4.48374176e+000, 3.84202576e+000, 2.30447998e+002, 2.17227570e+002
-4.43080902e+000, 3.46012115e+000, 2.30000000e+002, -1.50544690e+003
1.40426483e+001, 1.48330460e+001, 6.17117844e+001, 3.07967377e+002
1.42488708e+001, 1.52918320e+001, 6.15443649e+001, 2.88087817e+003
1.40735321e+001, 1.50462112e+001, 6.19524689e+001, 2.94441113e+003
3.45424652e+000, 2.64700317e+000, 2.14951492e+002, 6.47350342e+002
3.45020294e+000, 3.07374573e+000, 2.15000000e+002, -5.06569633e+001
3.65679932e+000, 3.01649475e+000, 2.15284653e+002, -1.01707733e+002
-2.13400269e+000, -2.85824661e+001, 2.18031876e+002, 1.66201828e+002
-2.21517181e+000, -2.88751984e+001, 2.17946533e+002, -7.16289291e+001
-2.41004944e+000, -2.85811691e+001, 2.17670731e+002, 1.14013245e+003
-4.48220825e+000, 3.85319519e+000, 2.29617218e+002, 1.78110657e+002
5.89782715e+000, 1.08001137e+001, 9.22234268e+001, 7.43269119e+001
5.68284607e+000, 1.12624512e+001, 9.21451187e+001, 1.18169995e+003
6.28942108e+000, 1.10860825e+001, 9.22872925e+001, 1.56532825e+003
3.44753265e+000, -9.64066696e+000, 2.15287582e+002, -1.14528770e+002
3.67304993e+000, -9.15744019e+000, 2.14888184e+002, 2.20653275e+002
3.64938354e+000, -9.83187866e+000, 2.15022232e+002, -4.62064453e+002
-4.89189148e+000, -5.53656387e+000, 1.77223160e+002, -5.55599121e+002
-4.93572235e+000, -5.91970825e+000, 1.77582214e+002, 8.22217834e+002
-4.83988190e+000, -5.58134079e+000, 1.77953629e+002, -1.03526294e+003
-5.29581451e+000, -6.27293777e+000, 1.77687622e+002, 7.24151611e+002
-4.90196228e+000, -5.87747192e+000, 1.77976212e+002, 6.16721741e+002
-3.33769989e+000, 7.60301590e+000, 2.22439789e+002, 6.63864868e+002
-3.46063232e+000, 7.44093323e+000, 2.22518326e+002, 4.87225220e+002
-3.46368408e+000, 7.74910355e+000, 2.22456100e+002, 5.27332825e+002
-3.33815765e+000, 6.97875214e+000, 2.22540573e+002, 5.77974426e+002
-3.58532715e+000, 7.20597076e+000, 2.22566742e+002, 5.94047546e+002
-1.59572601e+000, -2.03360672e+001, 2.45329483e+002, 4.75483795e+002
-1.59457397e+000, -2.06179428e+001, 2.45633072e+002, 3.35311554e+002
-1.73747253e+000, -2.03456879e+001, 2.45589554e+002, 6.82325684e+002
-1.75599670e+000, -2.07797699e+001, 2.45785721e+002, 8.28114258e+002
-1.93064117e+000, -2.04602051e+001, 2.45559555e+002, 1.22849182e+003
-1.76249695e+000, -3.06335297e+001, 2.17498795e+002, 1.84240036e+002
