[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -70.71 [m], -70.71 [m], 0 [m]
Axis 3 Point = -70.71 [m], -70.71 [m], 1 [m]
Plane 13 Point = 0 [m], -70.71 [m], 0 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-6.75763702e+000, 1.79580688e+000, 1.59755539e+002, 1.76902256e+001
-7.02944946e+000, 1.91172791e+000, 1.59557892e+002, 8.95413269e+002
-6.98926544e+000, 2.58049774e+000, 1.59633240e+002, 6.44610535e+002
-1.10302887e+001, -9.98541260e+000, 1.00069710e+002, 2.80532324e+003
-1.04777374e+001, -9.78038025e+000, 9.96052856e+001, 4.77146484e+002
-1.04021530e+001, -9.74898529e+000, 1.00154633e+002, 3.02762787e+002
6.24111938e+000, 5.19532776e+000, 1.75658569e+002, 1.25393837e+002
6.43989563e+000, 5.80683899e+000, 1.75979950e+002, -4.85674591e+002
6.46619415e+000, 5.90019226e+000, 1.75405762e+002, -7.87278503e+002
-6.65593719e+000, -4.38425446e+000, 1.59170395e+002, 4.42723969e+002
-6.48259735e+000, -5.03758240e+000, 1.59315018e+002, 2.02362793e+002
-6.47544098e+000, -4.45405579e+000, 1.59582321e+002, 3.70218170e+002
-1.84182510e+001, 1.89920120e+001, 3.39120827e+001, 2.15607300e+003
-1.80164413e+001, 1.89332123e+001, 3.42484665e+001, 6.97091248e+002
-1.87644730e+001, 1.86859703e+001, 3.44316711e+001, 2.93312598e+003
-7.85382080e+000, -7.21430969e+000, 1.40393005e+002, 4.64853912e+002
-8.50372314e+000, -7.46002960e+000, 1.40308868e+002, 2.71813159e+003
-7.95063019e+000, -7.24475098e+000, 1.39828522e+002, 6.57765686e+002
-5.87692261e+000, -4.83237457e+000, 1.81242188e+002, 2.51231567e+003
-5.43494415e+000, -4.67120361e+000, 1.80647980e+002, 8.32243347e+002
-5.28926086e+000, -4.64064026e+000, 1.81200500e+002, 4.33197845e+002
-4.07624817e+000, 3.55279541e+000, 1.98769989e+002, 6.92817200e+002
-4.75616455e+000, 3.71354675e+000, 1.98705811e+002, 1.33276382e+002
-4.35820770e+000, 3.51601410e+000, 1.99102631e+002, 2.33323471e+002
-1.11858368e+001, 0.00000000e+000, 9.22354050e+001, 1.29724487e+003
-1.08643036e+001, 0.00000000e+000, 9.22675018e+001, 9.42801331e+002
-1.07961502e+001, -4.95361328e-001, 9.22200928e+001, 6.89249023e+002
1.40649109e+001, -1.50810318e+001, 6.24208069e+001, 6.13441406e+002
1.39225922e+001, -1.46940231e+001, 6.26614418e+001, 2.00993872e+003
1.38886337e+001, -1.47921677e+001, 6.31330414e+001, 1.35647144e+003
3.62245178e+000, -9.75106812e+000, 2.21869080e+002, 3.67304873e+000
3.33692932e+000, -1.01784439e+001, 2.21941116e+002, 1.25769920e+002
3.08304596e+000, -9.75395966e+000, 2.21851212e+002, 7.05741577e+002
-1.08556519e+001, 4.29145813e-001, 9.22626266e+001, 9.48547546e+002
2.53958130e+000, 1.43376961e+001, 2.42917603e+002, -6.86783386e+002
2.31372070e+000, 1.42091408e+001, 2.42657227e+002, 4.57917664e+002
2.25522614e+000, 1.47846375e+001, 2.42847687e+002, 3.27419861e+002
-4.76847076e+000, -1.08579865e+001, 9.17360992e+001, 1.74096680e+003
-4.39601135e+000, -1.10155106e+001, 9.17005005e+001, 1.34392761e+003
-4.50783539e+000, -1.07016678e+001, 9.20302200e+001, 1.95298230e+003
-5.34001160e+000, -1.09053497e+001, 9.17155838e+001, 1.34320435e+003
-4.93464661e+000, -1.11130981e+001, 9.17223587e+001, 8.52791199e+002
-3.70529175e+000, 6.05628204e+000, 2.43124237e+002, 4.18017517e+002
