Vr(m/s),,,,,,,,,
r/m,h1/m,h2/m,h3/m,h4/m,h5/m,h6/m,h7/m,h8/m,h9/m
,0.008,0.0155,0.023,0.0325,0.0399,0.0461,0.0518,0.0558,0.0609
0.00427,-0.01320,-0.01359,-0.00125,0.01189,0.01887,0.02224,0.02355,0.02395,0.02399
0.00669,-0.04491,-0.02108,0.00443,0.02432,0.03495,0.04022,0.04237,0.04292,0.04261
0.01028,-0.06470,-0.02002,0.01514,0.04058,0.05489,0.06255,0.06602,0.06719,0.06680
0.01412,-0.05009,-0.00261,0.02939,0.05373,0.06915,0.07883,0.08400,0.08651,0.08670
0.01819,-0.00597,0.02749,0.04404,0.06172,0.07619,0.08799,0.09579,0.10062,0.10208
0.02229,0.06282,0.05971,0.04824,0.05652,0.06958,0.08360,0.09502,0.10345,0.10730
0.02615,0.14026,0.09224,0.04812,0.03953,0.04936,0.06585,0.08076,0.09326,0.10042
0.03006,0.22395,0.13445,0.05461,0.02425,0.02150,0.03454,0.05147,0.06745,0.07875
0.03402,0.30976,0.22574,0.08526,0.02627,0.00137,-0.00302,0.00740,0.02312,0.03803
0.03809,0.36935,0.45083,0.22521,0.07711,0.00510,-0.02931,-0.04603,-0.04063,-0.02609
0.04218,0.26427,0.76771,0.65348,0.31317,0.08697,-0.02415,-0.09065,-0.11537,-0.11171
0.04609,-0.14657,0.88791,1.17435,0.82267,0.36543,0.07257,-0.09312,-0.17522,-0.19947
0.05003,-0.82745,0.73394,1.52009,1.43344,0.86985,0.33923,-0.00195,-0.18845,-0.26931
0.05400,-1.61949,0.27604,1.53224,1.87740,1.47033,0.78693,0.23257,-0.11004,-0.28709
0.05805,-2.34970,-0.38339,1.21312,1.97100,1.89894,1.30365,0.61321,0.09455,-0.21556
0.06214,-2.89829,-1.01595,0.67012,1.72322,1.99320,1.64459,1.01060,0.39944,-0.03632
0.06607,-3.24491,-1.47936,0.09177,1.26547,1.80258,1.71391,1.24655,0.67216,0.18196
0.07001,-3.44609,-1.79116,-0.40871,0.70267,1.40527,1.56410,1.29876,0.84184,0.37756
0.07399,-3.53492,-1.96948,-0.78296,0.17275,0.88994,1.23334,1.17905,0.87589,0.49748
0.07804,-3.54600,-2.06456,-1.03881,-0.25311,0.38134,0.78597,0.90494,0.76908,0.51273
0.08212,-3.50456,-2.10349,-1.19082,-0.53585,-0.00947,0.37397,0.56846,0.56962,0.43873
0.08605,-3.43737,-2.12502,-1.29735,-0.72737,-0.28982,0.04694,0.25785,0.33104,0.29296
0.09001,-3.35689,-2.13217,-1.36725,-0.85136,-0.47933,-0.19176,0.00814,0.11302,0.13308
0.09399,-3.26314,-2.11740,-1.40347,-0.92422,-0.59703,-0.35009,-0.17084,-0.05773,-0.00679
0.09803,-3.19375,-2.14314,-1.48062,-1.03198,-0.73410,-0.51579,-0.35440,-0.24257,-0.17733
0.10269,-3.06874,-2.08894,-1.46675,-1.04592,-0.77291,-0.58034,-0.43992,-0.33721,-0.26943
0.10631,-2.96814,-2.04396,-1.45534,-1.05623,-0.79927,-0.62173,-0.49437,-0.39911,-0.33256
0.10980,-2.89396,-2.02666,-1.46944,-1.09040,-0.84620,-0.67882,-0.56025,-0.47133,-0.40774
0.11455,-2.82302,-2.03001,-1.51347,-1.16006,-0.93101,-0.77489,-0.66606,-0.58518,-0.52653
0.11761,-2.77384,-2.01947,-1.52460,-1.18675,-0.96741,-0.81825,-0.71528,-0.63966,-0.58497
0.12240,-2.66605,-1.95919,-1.49369,-1.17903,-0.97420,-0.83535,-0.74093,-0.67359,-0.62605
0.12616,-2.58417,-1.91644,-1.47556,-1.17896,-0.98536,-0.85428,-0.76601,-0.70451,-0.66205
0.12967,-2.52316,-1.89397,-1.47673,-1.19640,-1.01288,-0.88878,-0.80575,-0.74894,-0.71036
0.13451,-2.45562,-1.87882,-1.49318,-1.23485,-1.06498,-0.95038,-0.87433,-0.82339,-0.78945
0.13750,-2.41371,-1.86621,-1.49756,-1.25121,-1.08944,-0.98116,-0.90992,-0.86286,-0.83179
0.14237,-2.33748,-1.82913,-1.48473,-1.25755,-1.10999,-1.01295,-0.94994,-0.90902,-0.88215
