Vt(m/s),,,,,,,,,
r/m,h1/m,h2/m,h3/m,h4/m,h5/m,h6/m,h7/m,h8/m,h9/m
,2.67E-03,5.17E-03,7.67E-03,1.08E-02,1.33E-02,1.54E-02,1.73E-02,1.86E-02,2.03E-02
0.00427,1.10546,1.10546,1.00987,1.00987,1.00987,0.8386,0.8386,0.8386,0.70098
0.00669,1.68577,1.68577,1.59696,1.59696,1.59696,1.4276,1.4276,1.4276,1.23861
0.01028,2.05125,2.05125,2.0765,2.0765,2.0765,1.98452,1.98452,1.98452,1.80735
0.01412,1.75362,1.75362,1.97546,1.97546,1.97546,2.04551,2.04551,2.04551,2.00773
0.01819,1.31337,1.31337,1.60715,1.60715,1.60715,1.79224,1.79224,1.79224,1.88783
0.02229,1.10166,1.10166,1.37385,1.37385,1.37385,1.57406,1.57406,1.57406,1.70789
0.02615,0.97512,0.97512,1.24195,1.24195,1.24195,1.44467,1.44467,1.44467,1.58422
0.03006,0.87007,0.87007,1.14413,1.14413,1.14413,1.3539,1.3539,1.3539,1.49456
0.03402,0.78641,0.78641,1.06331,1.06331,1.06331,1.2758,1.2758,1.2758,1.41568
0.03809,0.71679,0.71679,0.99368,0.99368,0.99368,1.20199,1.20199,1.20199,1.33572
0.04218,0.6587,0.6587,0.93333,0.93333,0.93333,1.13276,1.13276,1.13276,1.25676
0.04609,0.61136,0.61136,0.88155,0.88155,0.88155,1.0706,1.0706,1.0706,1.18453
0.05003,0.56997,0.56997,0.83426,0.83426,0.83426,1.01182,1.01182,1.01182,1.11627
0.054,0.53324,0.53324,0.79025,0.79025,0.79025,0.95642,0.95642,0.95642,1.05249
0.05805,0.50037,0.50037,0.74915,0.74915,0.74915,0.90421,0.90421,0.90421,0.99314
0.06214,0.47111,0.47111,0.71101,0.71101,0.71101,0.85594,0.85594,0.85594,0.93891
0.06607,0.44597,0.44597,0.67726,0.67726,0.67726,0.81343,0.81343,0.81343,0.89161
0.07001,0.42318,0.42318,0.64579,0.64579,0.64579,0.77406,0.77406,0.77406,0.84813
0.07399,0.40244,0.40244,0.61642,0.61642,0.61642,0.73762,0.73762,0.73762,0.80813
0.07804,0.38332,0.38332,0.5888,0.5888,0.5888,0.70365,0.70365,0.70365,0.77099
0.08212,0.36585,0.36585,0.56308,0.56308,0.56308,0.6723,0.6723,0.6723,0.73684
0.08605,0.35045,0.35045,0.5401,0.5401,0.5401,0.64445,0.64445,0.64445,0.70659
0.09001,0.33622,0.33622,0.5186,0.5186,0.5186,0.61857,0.61857,0.61857,0.67849
0.09399,0.32303,0.32303,0.49847,0.49847,0.49847,0.59451,0.59451,0.59451,0.65242
0.09803,0.31066,0.31066,0.47949,0.47949,0.47949,0.57194,0.57194,0.57194,0.62796
0.10268,0.29784,0.29784,0.45974,0.45974,0.45974,0.54837,0.54837,0.54837,0.60231
0.10631,0.28847,0.28847,0.44523,0.44523,0.44523,0.53112,0.53112,0.53112,0.5836
0.1098,0.28022,0.28022,0.43227,0.43227,0.43227,0.51574,0.51574,0.51574,0.56696
0.11455,0.26953,0.26953,0.41546,0.41546,0.41546,0.49574,0.49574,0.49574,0.54529
0.11761,0.26309,0.26309,0.40525,0.40525,0.40525,0.48367,0.48367,0.48367,0.53224
0.1224,0.25374,0.25374,0.39047,0.39047,0.39047,0.46631,0.46631,0.46631,0.51338
0.12616,0.24671,0.24671,0.37939,0.37939,0.37939,0.45337,0.45337,0.45337,0.49937
0.12967,0.24068,0.24068,0.36995,0.36995,0.36995,0.44227,0.44227,0.44227,0.48735
0.13451,0.23288,0.23288,0.35766,0.35766,0.35766,0.42777,0.42777,0.42777,0.47162
0.1375,0.22823,0.22823,0.35044,0.35044,0.35044,0.41929,0.41929,0.41929,0.46242
0.14237,0.22129,0.22129,0.33947,0.33947,0.33947,0.40643,0.40643,0.40643,0.44847
0.14612,0.21621,0.21621,0.33148,0.33148,0.33148,0.39707,0.39707,0.39707,0.43828
0.14958,0.21188,0.21188,0.32459,0.32459,0.32459,0.38904,0.38904,0.38904,0.42956
0.15454,0.20602,0.20602,0.31523,0.31523,0.31523,0.3781,0.3781,0.3781,0.41764
0.15739,0.20286,0.20286,0.31018,0.31018,0.31018,0.37219,0.37219,0.37219,0.41118
0.16243,0.19768,0.19768,0.30176,0.30176,0.30176,0.36237,0.36237,0.36237,0.40042
0.16612,0.19412,0.19412,0.29596,0.29596,0.29596,0.35555,0.35555,0.35555,0.39288
0.16952,0.19107,0.19107,0.29098,0.29098,0.29098,0.3497,0.3497,0.3497,0.3864
0.17466,0.18675,0.18675,0.28381,0.28381,0.28381,0.34123,0.34123,0.34123,0.37696
0.17715,0.18478,0.18478,0.28058,0.28058,0.28058,0.33735,0.33735,0.33735,0.37261
0.18268,0.18075,0.18075,0.27384,0.27384,0.27384,0.32928,0.32928,0.32928,0.3635
0.18608,0.17842,0.17842,0.26995,0.26995,0.26995,0.32454,0.32454,0.32454,0.3581
0.1893,0.17641,0.17641,0.26652,0.26652,0.26652,0.32034,0.32034,0.32034,0.35328
0.19517,0.17294,0.17294,0.26054,0.26054,0.26054,0.31295,0.31295,0.31295,0.34475
0.19573,0.17261,0.17261,0.25999,0.25999,0.25999,0.31227,0.31227,0.31227,0.34396
0.2025,0.169,0.169,0.25379,0.25379,0.25379,0.30453,0.30453,0.30453,0.33489
0.20626,0.16726,0.16726,0.25072,0.25072,0.25072,0.30059,0.30059,0.30059,0.33019
0.21001,0.16559,0.16559,0.2478,0.2478,0.2478,0.2968,0.2968,0.2968,0.32564
0.21376,0.16402,0.16402,0.24504,0.24504,0.24504,0.29316,0.29316,0.29316,0.32123
0.2175,0.16255,0.16255,0.24241,0.24241,0.24241,0.28965,0.28965,0.28965,0.31695
0.2225,0.16077,0.16076,0.23916,0.23916,0.23916,0.28521,0.2852,0.2852,0.31148
0.22626,0.15954,0.15954,0.23688,0.23688,0.23688,0.28202,0.28202,0.28202,0.30751
0.23001,0.1584,0.1584,0.23471,0.23471,0.23471,0.27894,0.27894,0.27894,0.30365
0.23376,0.15733,0.15733,0.23264,0.23264,0.23264,0.27595,0.27595,0.27595,0.29988
0.2375,0.15633,0.15633,0.23066,0.23066,0.23066,0.27305,0.27305,0.27305,0.2962
0.2425,0.15511,0.15511,0.22818,0.22818,0.22818,0.26931,0.26931,0.26931,0.29144
0.24626,0.15428,0.15428,0.22642,0.22642,0.22642,0.2666,0.2666,0.2666,0.28797
0.25001,0.1535,0.1535,0.22472,0.22472,0.22472,0.26394,0.26394,0.26394,0.28458
0.25376,0.15277,0.15277,0.22309,0.22309,0.22309,0.26134,0.26134,0.26134,0.28125
0.2575,0.15208,0.15208,0.2215,0.2215,0.2215,0.25878,0.25878,0.25878,0.27799
0.2625,0.15125,0.15125,0.21948,0.21948,0.21947,0.25545,0.25545,0.25545,0.27375
0.26626,0.15068,0.15068,0.21801,0.21801,0.21801,0.25299,0.25299,0.25299,0.27065
0.27001,0.15014,0.15014,0.21657,0.21657,0.21657,0.25057,0.25057,0.25057,0.2676
0.27376,0.14963,0.14963,0.21517,0.21517,0.21517,0.24818,0.24818,0.24818,0.26461
0.2775,0.14915,0.14915,0.21379,0.21379,0.21379,0.24581,0.24581,0.24581,0.26167
0.2825,0.14856,0.14856,0.21198,0.21198,0.21198,0.24269,0.24269,0.24269,0.25784
0.28626,0.14816,0.14816,0.21065,0.21065,0.21065,0.24038,0.24038,0.24038,0.25503
0.29001,0.14777,0.14777,0.20933,0.20933,0.20933,0.23808,0.23808,0.23808,0.25227
0.29376,0.1474,0.1474,0.20802,0.20802,0.20802,0.23581,0.23581,0.23581,0.24955
0.2975,0.14706,0.14706,0.20671,0.20671,0.20671,0.23356,0.23356,0.23356,0.24689
0.3025,0.14663,0.14662,0.20497,0.20497,0.20497,0.23059,0.23059,0.23059,0.24341
0.30626,0.14632,0.14632,0.20366,0.20366,0.20366,0.22838,0.22838,0.22838,0.24086
0.31001,0.14603,0.14603,0.20234,0.20234,0.20234,0.22619,0.22619,0.22619,0.23835
0.31376,0.14576,0.14576,0.20102,0.20102,0.20102,0.22402,0.22402,0.22402,0.23588
0.3175,0.1455,0.1455,0.1997,0.1997,0.1997,0.22187,0.22187,0.22187,0.23345
0.3225,0.14517,0.14517,0.19791,0.19791,0.19791,0.21903,0.21903,0.21903,0.23029
0.32626,0.14494,0.14494,0.19655,0.19655,0.19655,0.21692,0.21692,0.21692,0.22796
0.33001,0.14472,0.14472,0.19518,0.19518,0.19518,0.21484,0.21484,0.21484,0.22567
0.33376,0.14452,0.14452,0.19381,0.19381,0.19381,0.21277,0.21277,0.21277,0.22342
0.3375,0.14432,0.14432,0.19242,0.19242,0.19242,0.21073,0.21073,0.21073,0.2212
0.3425,0.14407,0.14407,0.19054,0.19054,0.19054,0.20803,0.20803,0.20803,0.21831
0.34625,0.14389,0.14389,0.18912,0.18912,0.18912,0.20603,0.20603,0.20603,0.21617
0.35001,0.14373,0.14373,0.18768,0.18768,0.18768,0.20406,0.20406,0.20406,0.21407
0.35375,0.14358,0.14358,0.18623,0.18623,0.18623,0.2021,0.2021,0.2021,0.212
0.3575,0.14343,0.14343,0.18477,0.18477,0.18477,0.20017,0.20017,0.20017,0.20995
0.3625,0.14326,0.14326,0.1828,0.1828,0.1828,0.19762,0.19762,0.19762,0.20727
0.36625,0.14315,0.14314,0.1813,0.1813,0.1813,0.19574,0.19574,0.19574,0.2053
0.37001,0.14304,0.14304,0.17979,0.17979,0.17979,0.19388,0.19388,0.19388,0.20334
0.37376,0.14294,0.14294,0.17828,0.17828,0.17828,0.19204,0.19204,0.19204,0.20141
0.3775,0.14286,0.14286,0.17677,0.17677,0.17677,0.19022,0.19022,0.19022,0.19951
0.3825,0.1428,0.1428,0.17475,0.17475,0.17475,0.18784,0.18784,0.18784,0.19701
0.38626,0.14284,0.14284,0.17328,0.17328,0.17328,0.18609,0.18609,0.18609,0.19516
0.39001,0.14315,0.14315,0.17192,0.17192,0.17192,0.18438,0.18438,0.18438,0.19335
0.39376,0.14458,0.14458,0.17065,0.17065,0.17065,0.18274,0.18274,0.18274,0.19161
0.3975,0.14795,0.14795,0.16943,0.16943,0.16943,0.18122,0.18122,0.18122,0.18995
