,Coordinates,,
No.,X(mm),Y(mm),Z(mm)
,1,2,3
1,18500.0,18500.0,32000.0
2,-18500.0,18500.0,32000.0
3,-18500.0,-18500.0,32000.0
4,18500.0,-18500.0,32000.0
5,14750.0,14750.0,62000.0
6,-14750.0,14750.0,62000.0
7,-14750.0,-14750.0,62000.0
8,14750.0,-14750.0,62000.0
9,11000.0,11000.0,92000.0
10,-11000.0,11000.0,92000.0
11,-11000.0,-11000.0,92000.0
12,11000.0,-11000.0,92000.0
13,8610.1,8610.0,129910.6
14,-8610.1,8610.0,129910.6
15,-8610.1,-8610.0,129910.6
16,8610.1,-8610.0,129910.6
17,6747.5,6747.5,159455.9
18,-6747.5,6747.5,159455.9
19,-6747.5,-6747.5,159455.9
20,6747.5,-6747.5,159455.9
21,5172.7,5172.7,184436.4
22,-5172.7,5172.7,184436.4
23,-5172.7,-5172.7,184436.4
24,5172.7,-5172.7,184436.4
25,3750.2,3750.2,207000.0
26,-3750.2,3750.2,207000.0
27,-3750.2,-3750.2,207000.0
28,3750.2,-3750.2,207000.0
29,3750.2,3750.2,223000.0
30,-3750.2,3750.2,223000.0
31,-3750.2,-3750.2,223000.0
32,3750.2,-3750.2,223000.0
33,3750.2,3750.2,243500.0
34,-3750.2,3750.2,243500.0
35,-3750.2,-3750.2,243500.0
36,3750.2,-3750.2,243500.0
37,1890.0,32000.0,215000.0
38,-1890.0,32000.0,215000.0
39,-1890.0,-32000.0,215000.0
40,1890.0,-32000.0,215000.0
41,1890.0,19500.0,237500.0
42,-1890.0,19500.0,237500.0
43,-1890.0,-19500.0,237500.0
44,1890.0,-19500.0,237500.0
45,1243.3,25000.5,247444.7
46,-1243.3,25000.5,247444.7
47,-1243.3,-25000.5,247444.7
48,1243.3,-25000.5,247444.7
